Periodo,Ano,Mes,Receitas_Ativas,Receitas_Passivas,Total_Receitas,Despesas_Operacionais,Despesas_Patrimoniais,Total_Despesas,Financiamento1_Studio,Financiamento2_Moradia,Financiamento3_Orlando,Venda_Ativos,Desembolso_Objetivos,Portfolio_Inicial,Rendimento_Portfolio,Saving,Portfolio_Final
2078/01,2078,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35207743.79,0.00,-27000.00,35296004.78
2078/02,2078,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,35296004.78,0.00,-28200.00,35383354.72
2078/03,2078,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35383354.72,0.00,-27000.00,35472190.61
2078/04,2078,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35472190.61,0.00,-27000.00,35561317.34
2078/05,2078,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35561317.34,0.00,-27000.00,35650735.83
2078/06,2078,6,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35650735.83,0.00,-27000.00,35740447.07
2078/07,2078,7,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35740447.07,0.00,-82877.00,35774574.99
2078/08,2078,8,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35774574.99,0.00,-27000.00,35864691.64
2078/09,2078,9,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35864691.64,0.00,-27000.00,35955103.31
2078/10,2078,10,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,35955103.31,0.00,-27000.00,36045810.96
2078/11,2078,11,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36045810.96,0.00,-27000.00,36136815.56
2078/12,2078,12,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36136815.56,0.00,-82877.00,36172241.10
2079/01,2079,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36172241.10,0.00,-27000.00,36263659.60
2079/02,2079,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,36263659.60,0.00,-28200.00,36354177.38
2079/03,2079,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36354177.38,0.00,-27000.00,36446191.50
2079/04,2079,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36446191.50,0.00,-27000.00,36538506.85
2079/05,2079,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36538506.85,0.00,-27000.00,36631124.41
2079/06,2079,6,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36631124.41,0.00,-27000.00,36724045.18
2079/07,2079,7,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36724045.18,0.00,-82877.00,36761393.15
2079/08,2079,8,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36761393.15,0.00,-27000.00,36854740.38
2079/09,2079,9,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36854740.38,0.00,-27000.00,36948393.21
2079/10,2079,10,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,36948393.21,0.00,-27000.00,37042352.64
2079/11,2079,11,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37042352.64,0.00,-27000.00,37136619.66
2079/12,2079,12,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37136619.66,0.00,-82877.00,37175318.29
2080/01,2080,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37175318.29,0.00,-27000.00,37270020.61
2080/02,2080,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,37270020.61,0.00,-28200.00,37363832.96
2080/03,2080,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37363832.96,0.00,-27000.00,37459152.43
2080/04,2080,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37459152.43,0.00,-27000.00,37554783.94
2080/05,2080,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37554783.94,0.00,-27000.00,37650728.53
2080/06,2080,6,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37650728.53,0.00,-27000.00,37746987.22
2080/07,2080,7,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37746987.22,0.00,-82877.00,37787684.03
2080/08,2080,8,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37787684.03,0.00,-27000.00,37884391.08
2080/09,2080,9,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37884391.08,0.00,-27000.00,37981414.72
2080/10,2080,10,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,37981414.72,0.00,-27000.00,38078755.99
2080/11,2080,11,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38078755.99,0.00,-27000.00,38176415.92
2080/12,2080,12,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38176415.92,0.00,-82877.00,38218518.58
2081/01,2081,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38218518.58,0.00,-27000.00,38316636.06
2081/02,2081,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,38316636.06,0.00,-28200.00,38413874.76
2081/03,2081,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38413874.76,0.00,-27000.00,38512631.79
2081/04,2081,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38512631.79,0.00,-27000.00,38611712.12
2081/05,2081,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38611712.12,0.00,-27000.00,38711116.82
2081/06,2081,6,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38711116.82,0.00,-27000.00,38810846.94
2081/07,2081,7,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38810846.94,0.00,-82877.00,38855026.56
2081/08,2081,8,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38855026.56,0.00,-27000.00,38955227.80
2081/09,2081,9,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,38955227.80,0.00,-27000.00,39055757.08
2081/10,2081,10,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39055757.08,0.00,-27000.00,39156615.47
2081/11,2081,11,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39156615.47,0.00,-27000.00,39257804.04
2081/12,2081,12,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39257804.04,0.00,-82877.00,39303446.87
2082/01,2082,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39303446.87,0.00,-27000.00,39405116.13
2082/02,2082,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,39405116.13,0.00,-28200.00,39505918.22
2082/03,2082,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39505918.22,0.00,-27000.00,39608250.32
2082/04,2082,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39608250.32,0.00,-27000.00,39710917.43
2082/05,2082,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39710917.43,0.00,-27000.00,39813920.64
2082/06,2082,6,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39813920.64,0.00,-27000.00,39917261.05
2082/07,2082,7,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39917261.05,0.00,-82877.00,39965062.78
2082/08,2082,8,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,39965062.78,0.00,-27000.00,40068897.99
2082/09,2082,9,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40068897.99,0.00,-27000.00,40173073.14
2082/10,2082,10,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40173073.14,0.00,-27000.00,40277589.33
2082/11,2082,11,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40277589.33,0.00,-27000.00,40382447.67
2082/12,2082,12,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40382447.67,0.00,-82877.00,40431772.30
2083/01,2083,1,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40431772.30,0.00,-27000.00,40537135.40
2083/02,2083,2,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,0.00,0.00,0.00,40537135.40,0.00,-28200.00,40641643.43
2083/03,2083,3,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40641643.43,0.00,-27000.00,40747693.60
2083/04,2083,4,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40747693.60,0.00,-27000.00,40854090.94
2083/05,2083,5,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,40854090.94,0.00,-27000.00,40960836.61
