id,planejamento_id,ano,mes,periodo,data,despesas_basicas,despesas_dependentes,despesas_estilo,despesas_viagens,despesas_patrimoniais,financiamento_1,financiamento_2,financiamento_3,financiamento_4,financiamento_5,receita_ativa,receita_passiva,receita_patrimonio,inss,venda_ativos,desembolso_objetivos,despesas_totais,receitas_totais,cs,portfolio_inicial,total_vendas,projetos,saving,renta_dolar,portfolio_final,projetos_brl,projetos_usd,caixa,longevidade,gerado_em,versao
335,2,2050,11,55092,2050-11-01,23000,0,13000,0,1000,0,0,0,0,0,136666.33,0,0,0,0,0,37000,136666.33,0,17880058.86,0,0,99666.33,0,18038259.85,0,0,0,0,2025-08-13 11:18:04.3492,1
336,2,2050,12,55122,2050-12-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,18038259.85,0,0,-22426,0,18074886.42,0,0,0,0,2025-08-13 11:18:04.500379,1
337,2,2051,1,55153,2051-01-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18074886.42,0,0,33000,0,18167058.89,0,0,0,0,2025-08-13 11:18:04.672574,1
338,2,2051,2,55184,2051-02-01,23000,0,13000,0,2200,0,0,0,0,0,70000,0,0,0,0,0,38200,70000,0,18167058.89,0,0,31800,0,18258333.11,0,0,0,0,2025-08-13 11:18:04.832631,1
339,2,2051,3,55212,2051-03-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18258333.11,0,0,33000,0,18351106.15,0,0,0,0,2025-08-13 11:18:04.993552,1
340,2,2051,4,55243,2051-04-01,23000,0,13000,0,1000,0,0,0,0,0,135000,0,0,0,0,0,37000,135000,0,18351106.15,0,0,98000,0,18509182.89,0,0,0,0,2025-08-13 11:18:05.182591,1
341,2,2051,5,55273,2051-05-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18509182.89,0,0,33000,0,18602777.14,0,0,0,0,2025-08-13 11:18:05.364579,1
342,2,2051,6,55304,2051-06-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18602777.14,0,0,33000,0,18696677.79,0,0,0,0,2025-08-13 11:18:05.544763,1
343,2,2051,7,55334,2051-07-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,18696677.79,0,0,-22426,0,18735459.85,0,0,0,0,2025-08-13 11:18:05.721983,1
344,2,2051,8,55365,2051-08-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18735459.85,0,0,33000,0,18829794.87,0,0,0,0,2025-08-13 11:18:05.870362,1
345,2,2051,9,55396,2051-09-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18829794.87,0,0,33000,0,18924438.72,0,0,0,0,2025-08-13 11:18:06.02172,1
346,2,2051,10,55426,2051-10-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,18924438.72,0,0,33000,0,19019392.41,0,0,0,0,2025-08-13 11:18:06.182669,1
347,2,2051,11,55457,2051-11-01,23000,0,13000,0,1000,0,0,0,0,0,136666.33,0,0,0,0,0,37000,136666.33,0,19019392.41,0,0,99666.33,0,19181323.28,0,0,0,0,2025-08-13 11:18:06.348376,1
348,2,2051,12,55487,2051-12-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,19181323.28,0,0,-22426,0,19221691.94,0,0,0,0,2025-08-13 11:18:06.513034,1
349,2,2052,1,55518,2052-01-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,19221691.94,0,0,33000,0,19317618.76,0,0,0,0,2025-08-13 11:18:06.68388,1
350,2,2052,2,55549,2052-02-01,23000,0,13000,0,2200,0,0,0,0,0,70000,0,0,0,0,0,38200,70000,0,19317618.76,0,0,31800,0,19412659.61,0,0,0,0,2025-08-13 11:18:06.834806,1
351,2,2052,3,55578,2052-03-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,19412659.61,0,0,33000,0,19509211.61,0,0,0,0,2025-08-13 11:18:07.005138,1
352,2,2052,4,55609,2052-04-01,23000,0,13000,0,1000,0,0,0,0,0,135000,0,0,0,0,0,37000,135000,0,19509211.61,0,0,98000,0,19671079.69,0,0,0,0,2025-08-13 11:18:07.164891,1
353,2,2052,5,55639,2052-05-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,19671079.69,0,0,33000,0,19768477.69,0,0,0,0,2025-08-13 11:18:07.327501,1
354,2,2052,6,55670,2052-06-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,19768477.69,0,0,33000,0,19866194.54,0,0,0,0,2025-08-13 11:18:07.511446,1
355,2,2052,7,55700,2052-07-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,19866194.54,0,0,-22426,0,19908805.29,0,0,0,0,2025-08-13 11:18:07.72548,1
356,2,2052,8,55731,2052-08-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,19908805.29,0,0,33000,0,20006981.54,0,0,0,0,2025-08-13 11:18:07.912742,1
357,2,2052,9,55762,2052-09-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20006981.54,0,0,33000,0,20105479.19,0,0,0,0,2025-08-13 11:18:08.109391,1
358,2,2052,10,55792,2052-10-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20105479.19,0,0,33000,0,20204299.3,0,0,0,0,2025-08-13 11:18:08.280036,1
359,2,2052,11,55823,2052-11-01,23000,0,13000,0,1000,0,0,0,0,0,136666.33,0,0,0,0,0,37000,136666.33,0,20204299.3,0,0,99666.33,0,20370109.25,0,0,0,0,2025-08-13 11:18:08.468004,1
360,2,2052,12,55853,2052-12-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,20370109.25,0,0,-22426,0,20414369.68,0,0,0,0,2025-08-13 11:18:08.614107,1
361,2,2053,1,55884,2053-01-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20414369.68,0,0,33000,0,20514201.02,0,0,0,0,2025-08-13 11:18:08.788365,1
362,2,2053,2,55915,2053-02-01,23000,0,13000,0,2200,0,0,0,0,0,70000,0,0,0,0,0,38200,70000,0,20514201.02,0,0,31800,0,20613159.17,0,0,0,0,2025-08-13 11:18:08.950052,1
363,2,2053,3,55943,2053-03-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20613159.17,0,0,33000,0,20713641.29,0,0,0,0,2025-08-13 11:18:09.119019,1
364,2,2053,4,55974,2053-04-01,23000,0,13000,0,1000,0,0,0,0,0,135000,0,0,0,0,0,37000,135000,0,20713641.29,0,0,98000,0,20879452.36,0,0,0,0,2025-08-13 11:18:09.305713,1
365,2,2053,5,56004,2053-05-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20879452.36,0,0,33000,0,20980806.26,0,0,0,0,2025-08-13 11:18:09.458131,1
366,2,2053,6,56035,2053-06-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,20980806.26,0,0,33000,0,21082491.96,0,0,0,0,2025-08-13 11:18:09.673729,1
367,2,2053,7,56065,2053-07-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,21082491.96,0,0,-22426,0,21129084.55,0,0,0,0,2025-08-13 11:18:09.83366,1
368,2,2053,8,56096,2053-08-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,21129084.55,0,0,33000,0,21231255.67,0,0,0,0,2025-08-13 11:18:10.012095,1
369,2,2053,9,56127,2053-09-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,21231255.67,0,0,33000,0,21333761.28,0,0,0,0,2025-08-13 11:18:10.205625,1
370,2,2053,10,56157,2053-10-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,21333761.28,0,0,33000,0,21436602.46,0,0,0,0,2025-08-13 11:18:10.364315,1
371,2,2053,11,56188,2053-11-01,23000,0,13000,0,1000,0,0,0,0,0,136666.33,0,0,0,0,0,37000,136666.33,0,21436602.46,0,0,99666.33,0,21606446.65,0,0,0,0,2025-08-13 11:18:10.524988,1
372,2,2053,12,56218,2053-12-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,21606446.65,0,0,-22426,0,21654754.54,0,0,0,0,2025-08-13 11:18:10.667225,1
373,2,2054,1,56249,2054-01-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,21654754.54,0,0,33000,0,21758646.57,0,0,0,0,2025-08-13 11:18:10.849946,1
374,2,2054,2,56280,2054-02-01,23000,0,13000,0,2200,0,0,0,0,0,70000,0,0,0,0,0,38200,70000,0,21758646.57,0,0,31800,0,21861678.71,0,0,0,0,2025-08-13 11:18:11.030686,1
375,2,2054,3,56308,2054-03-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,21861678.71,0,0,33000,0,21966248.16,0,0,0,0,2025-08-13 11:18:11.228202,1
376,2,2054,4,56339,2054-04-01,23000,0,13000,0,1000,0,0,0,0,0,135000,0,0,0,0,0,37000,135000,0,21966248.16,0,0,98000,0,22136159.94,0,0,0,0,2025-08-13 11:18:11.395389,1
377,2,2054,5,56369,2054-05-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,22136159.94,0,0,33000,0,22241627.97,0,0,0,0,2025-08-13 11:18:11.540422,1
378,2,2054,6,56400,2054-06-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,22241627.97,0,0,33000,0,22347441.27,0,0,0,0,2025-08-13 11:18:11.721373,1
379,2,2054,7,56430,2054-07-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,22347441.27,0,0,-22426,0,22398174.98,0,0,0,0,2025-08-13 11:18:11.89294,1
380,2,2054,8,56461,2054-08-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,22398174.98,0,0,33000,0,22504500.78,0,0,0,0,2025-08-13 11:18:12.121614,1
381,2,2054,9,56492,2054-09-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,22504500.78,0,0,33000,0,22611174.66,0,0,0,0,2025-08-13 11:18:12.339904,1
382,2,2054,10,56522,2054-10-01,23000,0,13000,0,1000,0,0,0,0,0,70000,0,0,0,0,0,37000,70000,0,22611174.66,0,0,33000,0,22718197.76,0,0,0,0,2025-08-13 11:18:12.525464,1
383,2,2054,11,56553,2054-11-01,23000,0,13000,0,1000,0,0,0,0,0,136666.33,0,0,0,0,0,37000,136666.33,0,22718197.76,0,0,99666.33,0,22892237.56,0,0,0,0,2025-08-13 11:18:12.674629,1
384,2,2054,12,56583,2054-12-01,23000,0,13000,55426,1000,0,0,0,0,0,70000,0,0,0,0,0,92426,70000,0,22892237.56,0,0,-22426,0,22944754.78,0,0,0,0,2025-08-13 11:18:12.817696,1
